,Unnamed: 0,file,Rin_vclamp (MOhms),Access resistance (MOhms),Tau_vclamp (ms),Cm_vclamp (pF),Inward current peak - -70.0 mV (pA),Inward current peak - -60.0 mV (pA),Inward current peak - -50.0 mV (pA),Inward current peak - -40.0 mV (pA),Inward current peak - -30.0 mV (pA),Inward current peak - -20.0 mV (pA),Inward current peak - -10.0 mV (pA),Inward current peak - 0.0 mV (pA),Inward current peak - 10.0 mV (pA),Inward current peak - 20.0 mV (pA),Rin (MOhms),RMP (mV),Sag ratio,Delay,Pause,Burst,Spike Frequency - -40.0 pA (Hz),Spike Frequency - -20.0 pA (Hz),Spike Frequency - 0.0 pA (Hz),Spike Frequency - 20.0 pA (Hz),Spike Frequency - 40.0 pA (Hz),Spike Frequency - 60.0 pA (Hz),Spike Frequency - 80.0 pA (Hz),FI Curve Slope,Spike Frequency - 100.0 pA (Hz),Spike Frequency - 120.0 pA (Hz),Spike Frequency - 140.0 pA (Hz),Spike Frequency - 160.0 pA (Hz),Spike Frequency - 180.0 pA (Hz),Spike Frequency - 200.0 pA (Hz),Spike Frequency - 220.0 pA (Hz),Spike Frequency - 240.0 pA (Hz),Spike Frequency - -100.0 pA (Hz),Spike Frequency - -80.0 pA (Hz),Spike Frequency - -60.0 pA (Hz),Spike Frequency - 260.0 pA (Hz),Spike Frequency - 280.0 pA (Hz),Threshold (mV),Peak (mV),Height (mV),Trough (mV),Fast Trough (mV),Slow Trough (mV),FWHM (ms),Upstroke/Downstroke,AHP amplitude (mV),Adaptation index,Rheobase_estimated (pA),Tau (ms),Cm (pF),Delay Ratio,Burst Index,No. of Burst,Rheobase (pA),Spike Frequency - -10.0 pA (Hz),Spike Frequency - 10.0 pA (Hz),Spike Frequency - 30.0 pA (Hz),Spike Frequency - 50.0 pA (Hz),Spike Frequency - 70.0 pA (Hz),Spike Frequency - -5.0 pA (Hz),Spike Frequency - 5.0 pA (Hz),Spike Frequency - 15.0 pA (Hz),Spike Frequency - 25.0 pA (Hz),Spike Frequency - 35.0 pA (Hz),Spike Frequency - 45.0 pA (Hz),Spike Frequency - 55.0 pA (Hz),Spike Frequency - 65.0 pA (Hz),Spike Frequency - 75.0 pA (Hz),Spike Frequency - 85.0 pA (Hz),No. of Pause,Pause Fraction,Spike Frequency - -50.0 pA (Hz),Spike Frequency - -30.0 pA (Hz),Spike Frequency - 90.0 pA (Hz),Spike Frequency - 110.0 pA (Hz),Spike Frequency - 130.0 pA (Hz),Spike Frequency - 150.0 pA (Hz),Spike Frequency - 170.0 pA (Hz),Spike Frequency - 190.0 pA (Hz),Spike Frequency - 210.0 pA (Hz),Spike Frequency - 230.0 pA (Hz)
Q56,2023_04_01_0000,2023_04_01_0000,190.5618223239021,17.89855526059014,0.9836200142818736,54.95527432024937,-7.3242188,3.0517578,-275.26855,-142.82227,12.207031,-2.4414062,-25.634766,1.2207031,-8.544922,-5.493164,506.37381417410734,-32.862854,0.14752308,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57,2023_04_01_0008,2023_04_01_0008,708.8269048390308,18.28036635979086,1.99852108088108,109.32609563432976,-15.869141,-2.4414062,-6.713867,-1751.709,-1448.3643,-1203.6133,-957.03125,-714.1113,-490.1123,-256.34766,661.054338727679,-37.39624,0.33172074,True,False,False,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-0.0015413533834586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.552978515625,29.998779296875,78.06396484375,-48.065185546875,-45.806884765625,0.0,8.799999999999974,7.694637561507532,-10.6689453125,0.1451540866458249,0.0,58.7458921850744,92.49655248382498,1.518591697885168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58,2023_04_01_0019,2023_04_01_0019,311.5093468611137,7.274539967347676,1.1946656031628906,164.22558794442506,15.869141,-7.3242188,13.427734,-1687.6221,-1184.082,-887.4512,-1401.9775,-1207.2754,-630.49316,-10.986328,312.54359654017924,-51.594543,0.058541704,False,False,False,0.0,0.0,0.0,3.0,1.0,1.0,1.0,-0.0010902255639097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.04833984375,28.594970703125,70.4345703125,-41.839599609375,-39.4287109375,20.0,6.89999999999999,3.870708118022335,9.75494384765625,0.4526094781043792,20.0,48.7549127783797,99.7431936626258,1.658426779660065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59,2023_04_01_0028,2023_04_01_0028,250.28772460446095,7.423671471883432,0.9557133706050346,128.73864020312902,-0.61035156,-1.2207031,0.61035156,-2450.5615,-1939.6973,-1986.084,-2138.6719,-1646.1182,-1057.1289,-369.87305,384.783063616072,-55.082703,0.07938933,False,False,False,0.0,0.0,0.0,2.0,1.0,1.0,1.0,7.518796992481379e-05,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.562255859375,19.195556640625,64.300537109375,-45.10498046875,-38.87939453125,20.0,7.000000000000006,4.959608666610992,9.97772216796875,,20.0,41.44886999939358,107.72009976185008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q61,2023_04_01_0034,2023_04_01_0034,424.75833923109184,15.188919282152131,1.0526906313380795,69.3064866422098,3.0517578,0.0,3.6621094,-2105.1025,-1773.6816,-1453.2471,-1129.7607,-826.416,-498.04688,-183.71582,534.0576171875007,-52.529144,0.11995528,False,False,False,0.0,0.0,0.0,6.0,9.0,12.0,3.0,-0.0041353383458646,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.9638671875,40.46630859375,86.73095703125,-46.2646484375,-43.3349609375,20.0,5.8,6.009237070654011,6.264495849609375,0.0054775172666192,20.0,41.59684592994319,77.88831128185011,1.6208609064214132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q63,2023_04_01_0041,2023_04_01_0041,69.17770583287594,7.682676111989633,1.0999849047887045,143.17731071235204,1.2207031,-15.258789,-18.920898,-1994.0186,-1537.4756,-1192.627,-837.40234,-422.36328,20.751953,-4.272461,160.91482979910722,-26.623535,0.24310736,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.942030534127271,61.78442687065772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64,2023_04_01_0047,2023_04_01_0047,75.01774624064339,18.16583339714956,1.0068225128083297,55.42396491241146,9.765625,2.4414062,1.8310547,-1392.2119,-1148.6816,-915.52734,-700.6836,-476.07422,-237.42676,-14.038086,512.5645228794643,-51.195526,0.09189079,False,False,False,0.0,0.0,0.0,7.0,11.0,1.0,1.0,-0.0037218045112781,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.21728515625,34.088134765625,73.6083984375,-39.520263671875,-38.360595703125,20.0,5.400000000000016,6.001338389171964,11.675262451171877,0.0440283185056274,20.0,32.59517699268523,63.592339184096,1.4667460101586016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q65,2023_04_01_0055,2023_04_01_0055,95.45711709763457,10.912008186800424,1.0644574529266555,97.54918019712112,-6.713867,-4.8828125,-0.61035156,-1221.3135,-1040.0391,-1046.7529,-1052.8564,-845.3369,-433.95996,-41.503906,426.1125837053575,-24.623108,0.18074074,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q66,2023_04_01_0059,2023_04_01_0059,208.75567553425427,17.426927441835904,2.1485817617569976,123.29091108734468,4.8828125,4.272461,-5.493164,-2112.4268,-1741.333,-1383.667,-1042.4805,-700.07324,-386.35254,-68.96973,329.4590541294646,-50.079346,0.057899583,True,False,False,0.0,0.0,2.0,5.0,1.0,1.0,1.0,-0.0021804511278195,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.698486328125,25.054931640625,74.981689453125,-49.9267578125,-45.95947265625,0.0,10.399999999999991,9.341424643798076,0.152587890625,0.061666200205243,0.0,49.00786023487863,115.18830770812086,0.6738852414424055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67,2023_04_01_0066,2023_04_01_0066,325.68131421772114,19.6650363502008,0.8054632174868696,40.95915223053453,7.9345703,-4.8828125,-2.4414062,-1094.3604,-875.24414,-573.73047,-297.85156,-108.03223,-5.493164,-2.4414062,397.6876395089288,-26.524353,0.15701334,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.341552734375,19.6533203125,91.36962890625,-71.71630859375,-41.717529296875,,7.400000000000073,5.38949712078484,-45.91209030151367,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
